fips,"9th to 12th grade, no diploma",high school graduate (includes equivalency),"some college, no degree",associate's degree,bachelor's degree,graduate or professional degree,median income (family),median income (nonfamily),total population,occupied housing units,"1-unit, attached",2 units,3 or 4 units,5 to 9 units,10 to 19 units,20 or more units,mobile home,"boat, rv, van, etc.",commute time,count,state,Per Capita CO2
2020,0.0008401344021088361,0.005136715760217102,0.0056922703748878405,0.00188479295805011,0.004746669421764807,0.002729199992289586,94913.0,56170.0,298225,106012,0.0,6.147417273516205,11.848658642417838,7.701958268875222,4.023129457042598,8.273591668867674,4.707957589706826,0.0,9.603973509933775,1,Washington,10.60372749221663
2110,0.005618061074305069,0.043566114896006994,0.05964080402739425,0.015190628759288494,0.0554391407535485,0.030096076753383837,110923.0,57594.0,32434,12273,0.0,5.442842010918277,8.612401205899129,7.4146500448138175,5.288030636356228,6.7057769086612895,7.129471196936363,0.0,8.092742184127767,3,Oregon,9.300405495142963
4019,0.0004682885973247923,0.0014768669749311155,0.00166566679143164,0.0005754575038666976,0.001198521539380356,0.000880001316460443,60790.0,31095.0,1007257,398530,0.0,2.0778862319022413,3.337264446842145,4.0340752264572295,6.03091360750759,9.3880009033197,11.843775876345573,0.0,9.943073118379916,48,Oregon,9.300405495142963
4013,0.00010842248990889344,0.00036013852744491346,0.0003858795018632652,0.0001339318245124568,0.0003166753698966446,0.000180639097666836,69647.0,38629.0,4155501,1489533,0.0,1.2005104955714307,4.356667492428835,6.0263854510104835,7.359890650291065,9.332589476030408,5.7920838276157705,0.0,11.056817216504099,15,Oregon,9.300405495142963
6077,0.0008630665512736938,0.002353157368934853,0.0020370803878402323,0.0007997939465514039,0.001057918713736731,0.0004963028361972019,65375.0,31937.0,724153,223808,0.0,2.191610666285388,4.391263940520447,4.167411352587933,3.08880826422648,5.551633543036889,3.813536602802402,0.0,12.162250242697333,2328,California,9.160473334072224
6005,0.01520401507630135,0.0562749745168205,0.06259082009908368,0.021800085889176892,0.03078884905574257,0.015182459289331169,74151.0,27372.0,37306,14185,0.0,0.9587592527317591,2.3052520267888608,1.9880155093408527,1.0504053577722947,2.396898131829397,8.762777581952767,0.0,10.308663485766363,92,California,9.160473334072224
6047,0.0026010731652761463,0.005496982176785669,0.00499836273094981,0.0015775396155912054,0.001958952021985143,0.0010538842985619056,49971.0,28461.0,267390,79261,0.0,3.276516824163208,4.869986500296489,4.5331247397837515,1.536695222114281,2.5498038127200013,6.675414138100705,0.0,9.286753431317551,348,California,9.160473334072224
6033,0.010610566345916112,0.03418067736392614,0.0305318498914489,0.013616771768537443,0.011167992290677477,0.006153592962256464,52182.0,23905.0,64095,26327,0.0,2.529722338283891,2.670262468188552,2.271432369810461,1.0027728187792,1.7662475785315457,31.211303984502607,0.0,8.600670879163742,203,California,9.160473334072224
6043,0.031686474369279134,0.12353876444378865,0.12700246811978272,0.03717067185626975,0.06468787328222267,0.04227001337926101,62966.0,24779.0,17658,7434,0.0,3.0669895076674734,2.367500672585418,1.5738498789346251,0.5380683346785041,1.425881086898036,27.5894538606403,0.0,10.799354400271833,28,California,9.160473334072224
6049,0.07404101298978237,0.2566837111456409,0.2282726247658407,0.09593353842529943,0.10564988398375924,0.034068705312574284,51000.0,22154.0,9017,3638,0.0,1.0445299615173174,1.786695986805937,2.336448598130841,0.7971412864211105,1.319406267179769,16.025288620120946,0.0,4.427747587889542,2,California,9.160473334072224
